CODIGO;PRODUCTO;STOCK;PRECIO ULTIMA COMPRA;VALOR MINORISTA;VALOR MAYORISTA;PROVEEDOR;VENDIDOS;INGRESOS
1699500212861;Musculosa Adho (M, Azul);2; $14.080,00; $ 30.976,00 ; $ 28.160,00 ;SALPA SRL;;
1699565104903;Musculosa Azara (M, Negro);0; $16.093,00; $ 35.404,60 ; $ 32.186,00 ;SALPA SRL;1;
1699539633989;Musculosa Azara (L, Negro);1; $16.093,00; $ 35.404,60 ; $ 32.186,00 ;SALPA SRL;;
1699540930985;Musculosa Azara (XL, Negro);0; $16.093,00; $ 35.404,60 ; $ 32.186,00 ;SALPA SRL;1;
1699500211840;Musculosa Epuyen (M, Negro);0; $16.093,00; $ 35.404,60 ; $ 32.186,00 ;SALPA SRL;;
1699500211871;Musculosa Epuyen (L, Negro);1; $16.093,00; $ 35.404,60 ; $ 32.186,00 ;SALPA SRL;;
1699596550243;Musculosa Jump (M, Celeste);1; $12.850,00; $ 28.270,00 ; $ 25.700,00 ;SALPA SRL;;
1699516014589;Musculosa Jump (M, Verde Smoke);1; $12.850,00; $ 28.270,00 ; $ 25.700,00 ;SALPA SRL;;
1699508820556;Musculosa Jump (L, Celeste);1; $12.850,00; $ 28.270,00 ; $ 25.700,00 ;SALPA SRL;;
1699512902255;Musculosa Jump (L, Negro);1; $12.850,00; $ 28.270,00 ; $ 25.700,00 ;SALPA SRL;;
1699561611757;Musculosa Jump (L, Verde Smoke);1; $10.000,00; $ 22.000,00 ; $ 20.000,00 ;SALPA SRL;;
1699507672507;Musculosa Jump (XL, Celeste);1; $12.850,00; $ 28.270,00 ; $ 25.700,00 ;SALPA SRL;;
1699554885967;Musculosa Jump (XL, Verde Smoke);1; $12.850,00; $ 28.270,00 ; $ 25.700,00 ;SALPA SRL;;
1699515901712;Musculosa Jump (2XL, Negro);1; $12.850,00; $ 28.270,00 ; $ 25.700,00 ;SALPA SRL;;
1699500209168;Musculosa Jump Elemental (S, Beige);1; $13.491,50; $ 29.681,30 ; $ 26.983,00 ;SALPA SRL;;
1699500209199;Musculosa Jump Elemental (M, Beige);0; $13.491,50; $ 29.681,30 ; $ 26.983,00 ;SALPA SRL;1;
1699500209182;Musculosa Jump Elemental (M, Gris);0; $13.491,50; $ 29.681,30 ; $ 26.983,00 ;SALPA SRL;1;
1699500209175;Musculosa Jump Elemental (M, Negro);0; $13.491,50; $ 29.681,30 ; $ 26.983,00 ;SALPA SRL;1;
1699500209229;Musculosa Jump Elemental (L, Beige);0; $13.491,50; $ 29.681,30 ; $ 26.983,00 ;SALPA SRL;1;
1699500209212;Musculosa Jump Elemental (L, Gris);1; $13.491,50; $ 29.681,30 ; $ 26.983,00 ;SALPA SRL;;
1699500209205;Musculosa Jump Elemental (L, Negro);0; $13.491,50; $ 29.681,30 ; $ 26.983,00 ;SALPA SRL;1;
1699500209236;Musculosa Jump Elemental (XL, Negro);1; $13.491,50; $ 29.681,30 ; $ 26.983,00 ;SALPA SRL;;
1699500209267;Musculosa Jump Elemental (XXL, Negro);1; $13.491,50; $ 29.681,30 ; $ 26.983,00 ;SALPA SRL;;
1699538643583;Musculosa Millas GreenMove (M);1; $15.427,50; $ 33.940,50 ; $ 30.855,00 ;SALPA SRL;;
1699542141570;Musculosa Millas GreenMove (L);2; $15.427,50; $ 33.940,50 ; $ 30.855,00 ;SALPA SRL;;
1699582573706;Musculosa Millas GreenMove (XL);1; $15.427,50; $ 33.940,50 ; $ 30.855,00 ;SALPA SRL;;
7791293832357;Musculosa Juno (M, Negro);1; $12.208,00; $ 26.857,60 ; $ 24.416,00 ;SALPA SRL;;
1699542207153;Musculosa Slide (M);1; $14.778,00; $ 32.511,60 ; $ 29.556,00 ;SALPA SRL;;
1699512575015;Musculosa Slide (L);1; $14.778,00; $ 32.511,60 ; $ 29.556,00 ;SALPA SRL;;
1699500216340;Musculosa Soul (S, Beige);0; $15.427,50; $ 33.940,50 ; $ 30.855,00 ;SALPA SRL;1;
1699552436369;Musculosa Soul (M, Gris);0; $15.427,50; $ 33.940,50 ; $ 30.855,00 ;SALPA SRL;1;
1699500216364;Musculosa Soul (L, Beige);1; $15.427,50; $ 33.940,50 ; $ 30.855,00 ;SALPA SRL;;
1699593834933;Musculosa Soul (XL, Gris);0; $15.427,50; $ 33.940,50 ; $ 30.855,00 ;SALPA SRL;1;
1699500214186;Musculosa Turn (L, Azul Marino);1; $16.698,00; $ 36.735,60 ; $ 33.396,00 ;SALPA SRL;;
1699500214162;Musculosa Turn (L, Rojo);1; $16.698,00; $ 36.735,60 ; $ 33.396,00 ;SALPA SRL;;
1699500214193;Musculosa Turn (XL, Rojo);1; $16.698,00; $ 36.735,60 ; $ 33.396,00 ;SALPA SRL;;
1699500214209;Musculosa Turn (XL, Verde);1; $16.698,00; $ 36.735,60 ; $ 33.396,00 ;SALPA SRL;;
1699542517450;Pantalon Armonia (M, Crudo);0; $28.858,50; $ 63.488,70 ; $ 57.717,00 ;SALPA SRL;1;1
1699518042870;Pantalon Armonia (L, Crudo);1; $28.858,50; $ 63.488,70 ; $ 57.717,00 ;SALPA SRL;;
1699591486455;Pantalon Armonia (XL, Crudo);1; $28.858,50; $ 63.488,70 ; $ 57.717,00 ;SALPA SRL;;
1699551377137;Pantalon Interior Aconcagua (Homb. S / Muj. M);1; $29.524,00; $ 64.952,80 ; $ 59.048,00 ;SALPA SRL;;
;Pantalon Interior Aconcagua (Homb. L / Muj. XL);1; $29.524,00; $ 64.952,80 ; $ 59.048,00 ;SALPA SRL;;
1699500215695;Pantalon Interior Pure (Homb. S / Muj. M, Negro);1; $19.904,50; $ 43.789,90 ; $ 39.809,00 ;SALPA SRL;;
1699500215701;Pantalon Interior Pure (Homb. M / Muj. L, Negro);1; $19.904,50; $ 43.789,90 ; $ 39.809,00 ;SALPA SRL;;
1699516604667;Pantalon Alumine (S, Negro);0; $73.749,50; $ 162.248,90 ; $ 147.499,00 ;SALPA SRL;1;1
1699554633087;Pantalon Alumine (M, Negro);1; $73.749,50; $ 162.248,90 ; $ 147.499,00 ;SALPA SRL;;1
1699549282740;Pantalon Alumine (L, Negro);1; $73.749,50; $ 162.248,90 ; $ 147.499,00 ;SALPA SRL;;1
1699500210683;Pantalon Lunge Elemental (M, Gris Perla);1; $28.858,50; $ 63.488,70 ; $ 57.717,00 ;SALPA SRL;;
1699500210720;Pantalon Lunge Elemental (XL, Gris Perla);1; $28.858,50; $ 63.488,70 ; $ 57.717,00 ;SALPA SRL;;
1699595652450;Pantalon Penitentes (L, Gris Claro);1; $51.304,00; $ 112.868,80 ; $ 102.608,00 ;SALPA SRL;;
1699583126512;Pantalon Penitentes (M, Gris Claro);1; $51.304,00; $ 112.868,80 ; $ 102.608,00 ;SALPA SRL;;
1699581405855;Pantalon Penitentes (XL, Gris Claro);1; $51.304,00; $ 112.868,80 ; $ 102.608,00 ;SALPA SRL;;
7791328541926;Pantalon Thrust (S);1; $28.253,50; $ 62.157,70 ; $ 56.507,00 ;SALPA SRL;;1
7791328541933;Pantalon Thrust (M);0; $28.253,50; $ 62.157,70 ; $ 56.507,00 ;SALPA SRL;1;
7791328541919;Pantalon Thrust (L);1; $28.253,50; $ 62.157,70 ; $ 56.507,00 ;SALPA SRL;1;1
7791328541940;Pantalon Thrust (XL);1; $28.253,50; $ 62.157,70 ; $ 56.507,00 ;SALPA SRL;;
1699584758385;Remera Alihue (Homb. XS / Muj. S, Negro);1; $20.570,00; $ 45.254,00 ; $ 41.140,00 ;SALPA SRL;;
1699535404453;Remera Alihue (Homb. M / Muj. L, Negro);1; $20.570,00; $ 45.254,00 ; $ 41.140,00 ;SALPA SRL;;
1699542594857;Remera Alihue (Homb. 2XL / Muj. 3XL, Negro);1; $20.570,00; $ 45.254,00 ; $ 41.140,00 ;SALPA SRL;;
1699500211413;Remera Alumine (M, Rosa);0; $22.506,00; $ 49.513,20 ; $ 45.012,00 ;SALPA SRL;1;1
1699500211437;Remera Alumine (L, Rosa);2; $22.506,00; $ 49.513,20 ; $ 45.012,00 ;SALPA SRL;;
1699500211451;Remera Alumine (XL, Rosa);1; $22.506,00; $ 49.513,20 ; $ 45.012,00 ;SALPA SRL;;
